CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
RDG;NEWBERY JORGE;5323;CHACRAS DE CORIA;MENDOZA;LUN A VIE 10.00 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 10.00 A 13.00
RHA;RUTA 326 KM 15;0;BUENA VISTA;TUCUMAN;LUN A VIE 09.00 A 12.00
RHP;SPILIMBERGO LINO ENEAS;4114;CORDOBA;CORDOBA;LUN A SAB 18.00 A 20.00 / LUN A SAB 10.30 A 14.30
RHR;RIVADAVIA;177;SAN JOSE DE METAN;SALTA;LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.00
RHT;SAN MARTIN;195;VILLA RUMIPAL;CORDOBA;LUN A VIE 09.00 A 20.00 / SAB 10.00 A 20.00
RHU;MESTRE INTENDENTE RAMON BAUTISTA;1100;CORDOBA;CORDOBA;LUN A DOM 10.00 A 21.00
RHV;DERQUI PRESIDENTE SANTIAGO;30;VILLA ALLENDE;CORDOBA;LUN A DOM 09.00 A 18.00
RIE;DE LOS CONSTITUYENTES;5956;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 18.00
RIL;45;861;COLON;BUENOS AIRES;LUN A VIE 08.00 A 16.00
RIO;SAN MARTIN;246;VILLA LIA;BUENOS AIRES;LUN A VIE 06.30 A 12.30
RIP;CHACABUCO;47;GENERAL O BRIEN;BUENOS AIRES;LUN A VIE 17.00 A 20.00 / LUN A VIE 10.00 A 12.30 / SAB 10.00 A 12.30
RIR;ALSINA DOCTOR ADOLFO;367;PEHUAJO;BUENOS AIRES;LUN A VIE 09.00 A 12.30
RIY;9 DE JULIO;0;ALIJILAN;CATAMARCA;LUN A VIE 08.00 A 14.00 / LUN A VIE 18.00 A 21.00
RJA;VICTORICA;1128;MORENO;BUENOS AIRES;LUN A VIE 10.00 A 15.30
RJB;MITRE;1742;CASILDA;SANTA FE;LUN A VIE 09.00 A 12.00 / LUN A VIE 16.30 A 20.30
RJC;PRINGLES CORONEL JUAN PASCUAL;1295;TRES ARROYOS;BUENOS AIRES;LUN A VIE 17.00 A 21.00 / LUN A SAB 09.00 A 13.30
RJE;GARIBALDI;300;SAN NICOLAS DE LOS ARROYOS;BUENOS AIRES;LUN A VIE 08.00 A 14.00 / LUN A VIE 16.00 A 19.00
RJG;PUEYRREDON GENERAL JUAN MARTIN DE;301;MENDOZA;MENDOZA;LUN A DOM 08.00 A 23.00
RJH;SAN MARTIN GENERAL JOSE DE;299;ULAPES;LA RIOJA;LUN A DOM 08.00 A 24.00
RJK;FERRARI AGUSTIN;160;MARIANO ACOSTA;BUENOS AIRES;LUN A VIE 10.00 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 11.00 A 13.00 / SAB 17.00 A 20.00
RJT;25 DE MAYO;340;GUALEGUAYCHU;ENTRE RIOS;LUN A SAB 08.00 A 24.00 / DOM 10.00 A 24.00
RKB;GUEMES GENERAL MARTIN MIGUEL DE;31;JOAQUIN V GONZALEZ;SALTA;LUN A SAB 09.00 A 13.00 / LUN A SAB 18.00 A 21.00
RKQ;PELLEGRINI CARLOS;284;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A SAB 08.30 A 12.30 / LUN A SAB 18.00 A 21.30
RKT;DONADO AGUSTIN JOSE;1010;ROSARIO;SANTA FE;LUN A VIE 09.30 A 13.00 / LUN A VIE 17.00 A 20.00
RJX;GUERRICO CONTRALMIRANTE MARTIN;2316;SIERRAS BAYAS;BUENOS AIRES;LUN A SAB 08.00 A 13.00
RKW;JUSTO DOCTOR JUAN BAUTISTA;1149;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 08.30 A 20.30 / SAB 17.30 A 20.30 / SAB 08.30 A 13.30
RKX;JUSTO DOCTOR JUAN BAUTISTA;2002;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 17.00 A 20.30 / LUN A VIE 08.30 A 14.00 / SAB 08.30 A 14.00 / SAB 17.30 A 21.00
RKY;JUSTO DOCTOR JUAN BAUTISTA;922;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 09.00 A 14.00 / LUN A VIE 17.00 A 21.00 / SAB 08.30 A 14.00 / SAB 17.30 A 21.00
RLA;AGUIRRE FRANCISCO DE;98;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 17.30 A 20.30 / LUN A VIE 08.30 A 13.30 / SAB 09.00 A 13.30 / SAB 17.30 A 20.30
RLB;VIRGEN DE LA MERCED;88;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 08.30 A 21.00 / SAB 08.30 A 14.00 / SAB 17.30 A 21.00
RLE;MAIPU BATALLA DE;23;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 08.30 A 20.30 / SAB 08.30 A 14.00 / SAB 17.30 A 21.00
RLF;ALEM LEANDRO NICEFORO;300;TAFI VIEJO;TUCUMAN;LUN A VIE 09.00 A 14.00 / LUN A VIE 17.30 A 21.00 / SAB 08.30 A 14.00 / SAB 17.30 A 21.00
RLG;24 DE SEPTIEMBRE;202;TAFI VIEJO;TUCUMAN;LUN A VIE 17.00 A 21.00 / LUN A VIE 08.30 A 14.00 / SAB 08.30 A 14.00 / SAB 17.30 A 21.00
RLH;ACONQUIJA;1591;YERBA BUENA;TUCUMAN;LUN A VIE 09.00 A 21.00 / SAB 08.30 A 14.00 / SAB 17.30 A 21.00
RLJ;JUSTO DOCTOR JUAN BAUTISTA;3300;LAS TALITAS;TUCUMAN;LUN A VIE 09.00 A 14.00 / LUN A VIE 17.30 A 21.00 / SAB 08.30 A 14.00 / SAB 17.30 A 21.00
RLK;ESCALADA DE SAN MARTIN REMEDIOS;2282;VALENTIN ALSINA;BUENOS AIRES;LUN A VIE 09.00 A 17.30
RLM;BELGRANO GENERAL MANUEL;478;LAS LAJAS;NEUQUEN;LUN A SAB 09.00 A 13.00 / LUN A SAB 16.00 A 20.00
RLV;VIRASORO GENERAL BENJAMIN;2098;ROSARIO;SANTA FE;LUN A VIE 09.30 A 15.30 / SAB 09.30 A 13.00
RLX;PELLEGRINI CARLOS;142;PARANA;ENTRE RIOS;LUN A VIE 09.00 A 18.00
RLS;CHACABUCO;175;SALLIQUELO;BUENOS AIRES;LUN A SAB 08.00 A 12.00
RMD;RIVADAVIA;1168;LEONES;CORDOBA;LUN A VIE 09.00 A 24.00
RME;RIOJA;1009;SAN JUAN;SAN JUAN;LUN A VIE 18.00 A 20.00 / LUN A SAB 09.00 A 14.00
RMF;LOS NOGALES;0;SAN LUIS;SAN LUIS;LUN A SAB 08.30 A 14.00 / LUN A SAB 17.30 A 21.30
RMK;THAMES JOSE IGNACIO;959;BARADERO;BUENOS AIRES;LUN A VIE 09.00 A 17.00
RMM;ARAOZ ALFARO DOCTOR GREGORIO;1674;PRESIDENTE DERQUI;BUENOS AIRES;LUN A SAB 09.00 A 12.00 / LUN A SAB 17.00 A 19.30
RMP;46;2564;NECOCHEA;BUENOS AIRES;LUN A SAB 08.00 A 13.00
RMQ;57;908;NECOCHEA;BUENOS AIRES;LUN A SAB 08.00 A 13.00
RMR;SAENZ PEÑA ROQUE;2097;TANDIL;BUENOS AIRES;LUN A VIE 08.00 A 12.00
RMS;MUÑIZ;3498;CORTINES;BUENOS AIRES;LUN A VIE 06.00 A 14.00
RMU;CALDERON CALIXTO;101;CHIVILCOY;BUENOS AIRES;LUN A DOM 07.00 A 24.00
RMV;RIVADAVIA BERNARDINO;3140;SALADILLO;BUENOS AIRES;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 13.00
RNB;PRESIDENTE PERON 248;0;INGENIERO MIGUEL SAJAROFF;ENTRE RIOS;LUN A VIE 08.00 A 12.00
RND;MEXICO;0;CHEPES;LA RIOJA;LUN A SAB 08.00 A 14.00 / LUN A SAB 17.00 A 22.00
RNE;ENTRE RIOS PROVINCIA DE;161;MENDOZA;MENDOZA;LUN A VIE 11.00 A 17.00 / SAB 11.00 A 13.00
RNG;JUJUY;1359;CORRIENTES;CORRIENTES;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.30 A 20.30
RNL;LA ISLA;766;JESUS MARIA;CORDOBA;LUN A SAB 09.00 A 13.00 / LUN A SAB 18.00 A 21.00 / DOM 10.00 A 13.00
RNM;CORRIENTES;398;MACACHIN;LA PAMPA;LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
RNN;LARROCA CONCEJAL OSCAR;1072;GARIN;BUENOS AIRES;LUN A SAB 09.00 A 13.00 / LUN A SAB 16.00 A 20.00
RNO;ILLIA PRESIDENTE ARTURO HUMBERTO;635;SAN NICOLAS DE LOS ARROYOS;BUENOS AIRES;LUN A SAB 09.00 A 12.00 / LUN A SAB 17.00 A 20.00
RNP;CRESTO GOBERNADOR ENRIQUE;1705;CONCORDIA;ENTRE RIOS;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00
RNS;SUIPACHA;350;COLONIA DORA;SANTIAGO DEL ESTERO;LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 19.00
RNU;27 DE ABRIL;277;NUEVA ESPERANZA;SANTIAGO DEL ESTERO;LUN A SAB 07.30 A 13.00 / LUN A SAB 17.00 A 22.00
RNW;PERON EVA;2510;MORON;BUENOS AIRES;LUN A VIE 08.00 A 17.00
RNX;SAAVEDRA;1369;TOAY;LA PAMPA;LUN A VIE 09.30 A 12.00 / LUN A VIE 16.30 A 19.00 / SAB 09.30 A 12.00
RNZ;WASHINGTON;945;BAHIA BLANCA;BUENOS AIRES;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.30 A 19.30 / SAB 09.00 A 12.30
ROB;CURUPAYTI;647;VILLA MERCEDES;SAN LUIS;LUN A VIE 06.00 A 13.00
ROE;ANTARTIDA ARGENTINA;126;PUERTO IGUAZU;MISIONES;LUN A VIE 08.00 A 20.00 / SAB 09.00 A 13.00
ROF;VIDAL JOSE RAMON;2212;CORRIENTES;CORRIENTES;LUN A VIE 08.00 A 12.30 / LUN A VIE 16.30 A 20.00
ROI;SARMIENTO;4114;BAHIA BLANCA;BUENOS AIRES;LUN A DOM 09.30 A 19.30
ROM;BOULOGNE SUR MER;1620;CIUDAD MADERO;BUENOS AIRES;LUN A SAB 10.00 A 14.00 / LUN A SAB 16.30 A 20.00
ROQ;SALTA;1901;SAN JOSE;BUENOS AIRES;LUN A SAB 08.00 A 20.00
ROR;MORON;3008;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 12.00
RNQ;RIVADAVIA;272;SAN MARTIN;MENDOZA;LUN A VIE 09.00 A 16.00 / SAB 09.00 A 12.00
ROV;MARTI JOSE;1224;SAN JUAN;SAN JUAN;LUN A VIE 18.00 A 20.00 / LUN A SAB 09.00 A 13.00
ROX;BUSTAMANTE;2501;VILLA CELINA;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 10.00 A 13.00
RPA;SAAVEDRA;79;SAN SALVADOR DE JUJUY;JUJUY;LUN A VIE 10.00 A 20.00 / SAB 10.00 A 14.00
RPB;9 DE JULIO;1655;SASTRE;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.30 A 12.30
RPC;MITRE BARTOLOME;587;MARIA JUANA;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.30 A 12.30
REZ;MOYANO GOBERNADOR JOSE MARIA;1082;EL CALAFATE;SANTA CRUZ;LUN A SAB 10.00 A 21.00
RFP;11;0;VILLA ELVIRA;BUENOS AIRES;LUN A DOM 09.00 A 21.00
RPH;CHARCAS;3210;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 14.00 / LUN A VIE 15.00 A 19.00
RPI;CASEROS;25;HAEDO;BUENOS AIRES;LUN A VIE 09.00 A 17.30 / SAB 09.00 A 12.30
RPK;VAZQUEZ PADRE;798;MAIPU;MENDOZA;LUN A SAB 09.00 A 13.00
RPP;MARTINI DOCTOR PEDRO;1;O HIGGINS;BUENOS AIRES;LUN A VIE 09.00 A 12.00 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 13.00
RPV;HARAS DEL SUR;0;ANGEL ETCHEVERRY;BUENOS AIRES;LUN A SAB 08.00 A 20.00
RPW;ARAMBURU TENIENTE GENERAL PEDRO EUGENIO;300;COPETONAS;BUENOS AIRES;LUN A VIE 09.00 A 12.00 / LUN A VIE 17.00 A 21.00
RPX;BELGRANO MANUEL;607;TRES ARROYOS;BUENOS AIRES;LUN A SAB 08.00 A 21.00
RPN;PIEDRAS;1057;FRANCISCO MADERO;BUENOS AIRES;LUN A VIE 08.00 A 12.30 / LUN A VIE 16.00 A 20.00
RQE;ESPAÑA;1587;SAN LUIS;SAN LUIS;LUN A VIE 08.30 A 18.30 / SAB 08.30 A 13.00
RQF;CABRERA DOMINGO;265;DEAN FUNES;CORDOBA;LUN A VIE 09.00 A 21.00 / SAB A DOM 09.00 A 13.00 / SAB A DOM 17.00 A 21.00
ROJ;ZAPIOLA;4991;BERNAL OESTE;BUENOS AIRES;LUN A SAB 08.00 A 20.00
ROK;CROVARA INTENDENTE ESTEBAN JUAN S;3094;LA TABLADA;BUENOS AIRES;LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
ROW;JUSTO JUAN B;6400;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 18.00
ROZ;DEL TRABAJO;268;AÑATUYA;SANTIAGO DEL ESTERO;LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.00
RQG;PAEZ ALLENDE DE BERDUC CLARA;2524;PARANA;ENTRE RIOS;LUN A VIE 09.00 A 12.30 / LUN A VIE 17.00 A 20.00 / SAB 10.00 A 13.00
RQH;ARTIGAS GENERAL JOSE GERVASIO;3892;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 08.00 A 19.30
RQK;BELGRANO MANUEL;295;VILLA CURA BROCHERO;CORDOBA;LUN A VIE 08.00 A 14.00 / LUN A VIE 17.00 A 21.30 / SAB 09.30 A 13.30 / SAB 17.30 A 21.30
RGV;PEDERNERA GENERAL JUAN ESTEBAN;1119;SAN JOSE;MENDOZA;LUN A VIE 10.30 A 18.00
RRA;ITUZAINGO;2351;MENDOZA;MENDOZA;LUN A VIE 10.00 A 18.00 / SAB 10.00 A 14.00
RRC;SAN MARTIN GENERAL JOSE DE;273;CASBAS;BUENOS AIRES;LUN A VIE 09.30 A 12.30
RRH;GUEMES GENERAL MARTIN MIGUEL DE;1650;FLORIDA;BUENOS AIRES;LUN A SAB 08.00 A 19.00
RRJ;CONSTITUCION;2625;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
RRK;28 DE FEBRERO;46;LAGUNA ALSINA;BUENOS AIRES;LUN A VIE 09.00 A 12.00 / LUN A VIE 17.00 A 21.00
RQI;DEL VALLE LARRABURE CORONEL ARGENTINO;1710;VILLA MARIA;CORDOBA;LUN A VIE 08.00 A 17.00
RQJ;RIBERI INTENDENTE SANTIAGO FRANCISCO;326;JOVITA;CORDOBA;LUN A VIE 07.30 A 12.30 / LUN A VIE 16.30 A 20.30
RMI;TIRSO DE MOLINA;3490;BENAVIDEZ;BUENOS AIRES;LUN A SAB 10.00 A 22.00
RQT;GIL CORONEL;681;SANTA ROSA;LA PAMPA;MAR Y JUE 08.00 A 09.30
RQU;LURO DOCTOR PEDRO;2530;SANTA ROSA;LA PAMPA;MAR Y JUE 08.00 A 09.30
RQV;MARZO INGENIERO SANTIAGO;485;SANTA ROSA;LA PAMPA;MAR Y JUE 08.00 A 09.30
RQW;25 DE MAYO;1798;OLAVARRIA;BUENOS AIRES;LUN A VIE 08.00 A 19.00 / SAB 09.00 A 12.30
RRG;DORREGO CORONEL MANUEL;1083;DORREGO;MENDOZA;LUN A SAB 09.30 A 12.30 / MIERCOLES 14.30 A 18.30 / JUEVES 16.00 A 18.30 / LUN Y VIE 14.30 A 18.30
RRL;YRIGOYEN HIPOLITO;319;FRIAS;SANTIAGO DEL ESTERO;LUN A SAB 09.00 A 21.00
RRP;MONTEAGUDO;802;RESISTENCIA;CHACO;LUN A VIE 08.30 A 12.30 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00 / SAB 17.00 A 21.00
RRQ;RIOJA;1490;POSADAS;MISIONES;LUN A VIE 08.00 A 17.30
RRY;INMACULADA 2;0;AIMOGASTA;LA RIOJA;LUN A SAB 09.00 A 24.00
RSC;EVANS JOHN CAERING;315;GAIMAN;CHUBUT;LUN A VIE 09.00 A 21.00
RSE;16;0;LAGO PUELO;CHUBUT;LUN A SAB 10.00 A 20.00
RSL;PUEYRREDON JUAN M DE;364;SAN JUAN;SAN JUAN;LUN A SAB 18.00 A 21.00 / LUN A DOM 09.00 A 15.00
RTA;MORENO SOLDADO EDGARDO RUBEN;3598;SAN JUSTO;BUENOS AIRES;LUN A VIE 09.00 A 17.00 / SAB 09.00 A 12.00
RTC;MITRE BARTOLOME;619;PASO DEL REY;BUENOS AIRES;LUN A SAB 09.00 A 20.00
RTG;LACROZE FEDERICO;3390;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 19.00 / SAB 10.00 A 14.00
RTI;LAMADRID;313;LA RIOJA;LA RIOJA;LUN A VIE 18.00 A 22.00 / LUN A SAB 09.00 A 13.00
RTJ;RODRIGUEZ PEDRO;277;ROLON;LA PAMPA;LUN A VIE 07.00 A 13.00
RTP;ACOSTA FLORISBELO;4007;MAR DEL PLATA;BUENOS AIRES;LUN A DOM 09.00 A 22.00
RTQ;20 DE SEPTIEMBRE;215;MAR DEL PLATA;BUENOS AIRES;LUN A DOM 09.00 A 22.00
RTU;SAN PEDRO;6925;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00
RUB;BUENOS AIRES;4755;VILLA BALLESTER;BUENOS AIRES;LUN A VIE 10.00 A 15.00
RUC;LARRALDE CRISOLOGO;3450;SARANDI;BUENOS AIRES;LUN A SAB 08.00 A 20.00
RUF;ESCALADA DE SAN MARTIN REMEDIOS;1389;GERLI;BUENOS AIRES;LUN A SAB 08.00 A 20.00
RUM;COLLIVADINO DOCTOR CARLOS;26;TEMPERLEY;BUENOS AIRES;LUN A SAB 08.00 A 20.00
RUP;SANTA CATALINA;325;LUIS GUILLON;BUENOS AIRES;LUN A SAB 08.00 A 20.00
RUQ;ANGELELLI MONSEÑOR ENRIQUE;168;LA RIOJA;LA RIOJA;LUN A VIE 08.30 A 14.00 / LUN A VIE 18.00 A 21.00 / SAB 09.00 A 13.00
RUS;ALEM LEANDRO NICEFORO;25;LA RIOJA;LA RIOJA;LUN A VIE 08.30 A 14.00 / SAB 09.00 A 13.00
RUX;SAN MARTIN;83;RIVADAVIA;MENDOZA;LUN A VIE 17.30 A 20.30 / LUN A VIE 09.30 A 13.00
RUZ;DEAN FUNES GREGORIO;131;SALTA;SALTA;LUN A VIE 08.00 A 14.00 / LUN A SAB 17.00 A 20.30 / SAB 09.00 A 14.00
RVD;JUAREZ GASPAR;1;POZO HONDO;SANTIAGO DEL ESTERO;LUN A VIE 08.00 A 12.30 / LUN A SAB 18.00 A 22.00 / SAB 08.00 A 12.30 / DOM 09.00 A 12.00
RVH;VIRGEN DE ITATI;2106;INGENIERO BUDGE;BUENOS AIRES;LUN A VIE 09.00 A 14.00 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 13.30
RVI;ROCA PRESIDENTE GENERAL JULIO ARGENTINO;1334;EL CALAFATE;SANTA CRUZ;LUN A SAB 10.00 A 13.00 / LUN A SAB 16.00 A 21.00
RVK;SAN MARTIN;423;PUERTO SANTA CRUZ;SANTA CRUZ;LUN A DOM 10.00 A 24.00
RVM;SANTA ANA;2637;CORDOBA;CORDOBA;LUN A VIE 09.00 A 14.00 / LUN A VIE 16.00 A 20.00
RVN;HARRIS PAUL;653;SANTA CATALINA;CORDOBA;LUN A VIE 08.00 A 12.30 / LUN A VIE 16.30 A 21.00
RVP;MATARA;0;LUGONES;SANTIAGO DEL ESTERO;LUN A SAB 08.00 A 14.00 / LUN A SAB 18.00 A 22.00 / DOM 18.00 A 22.00
RWD;LOS ALAMOS;0;PUERTO MADRYN;CHUBUT;LUN A SAB 10.00 A 20.00
RWE;LA PAMPA;2525;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 18.00
RWJ;MORON;3699;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 17.00
RWL;PODESTA PABLO;1780;BOSQUES;BUENOS AIRES;LUN A VIE 10.00 A 19.00 / SAB 09.00 A 19.00
RWP;DEL VIENTO CHORRILLERO;1653;JUANA KOSLAY;SAN LUIS;LUN A VIE 11.00 A 21.00
RWT;SAN MARTIN;762;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A VIE 09.00 A 13.00 / LUN A VIE 19.00 A 21.30
RXC;SARMIENTO;1014;GENERAL MADARIAGA;BUENOS AIRES;LUN A VIE 09.00 A 12.00
RXD;ESPORA CORONEL DE MARINA TOMAS;295;VALERIA DEL MAR;BUENOS AIRES;LUN A DOM 10.00 A 14.00
RXE;107;703;VILLA GESELL;BUENOS AIRES;LUN A VIE 08.00 A 18.00
RXJ;BAHIA BLANCA CIUDAD DE;702;JUAN COUSTE;BUENOS AIRES;LUN A VIE 09.00 A 12.00 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 12.00
RXM;14 DE JULIO;2559;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 10.00 A 18.00
RXQ;SALTA PROVINCIA DE;348;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.30 A 21.00
RXW;PROVINCIAS UNIDAS;410;ROSARIO;SANTA FE;LUN A VIE 06.30 A 17.00
RXY;COPPA SOR MARIA H;198;PRESIDENCIA ROQUE SAENZ PEÑA;CHACO;LUN A SAB 09.00 A 20.00
RYK;SAN FRANCISCO;748;CALETA OLIVIA;SANTA CRUZ;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 19.30
RYN;MATANZA;3407;MONTE CHINGOLO;BUENOS AIRES;LUN A VIE 07.00 A 20.00 / SAB 09.00 A 13.00
RYW;PERON EVA;1092;TEMPERLEY;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
RYX;BUENOS AIRES;1753;LUIS GUILLON;BUENOS AIRES;LUN A VIE 10.00 A 13.00 / LUN A VIE 14.00 A 19.00 / SAB 10.00 A 14.00
RYZ;NUESTRAS MALVINAS;309;MONTE GRANDE;BUENOS AIRES;LUN A VIE 10.00 A 19.00 / SAB 10.00 A 13.00
RZB;RIVADAVIA;18236;MORON;BUENOS AIRES;LUN A VIE 09.00 A 17.00
RZK;YRIGOYEN PRESIDENTE HIPOLITO;672;FELICIA;SANTA FE;LUN A VIE 07.00 A 16.00
RZM;CARRILLO DOCTOR RAMON;660;CORRIENTES;CORRIENTES;LUN A VIE 10.00 A 14.00 / LUN A VIE 17.30 A 20.30
RZP;LA LEONESA;3367;RESISTENCIA;CHACO;LUN A SAB 07.00 A 23.00
RZT;9 DE JULIO;610;TORNQUIST;BUENOS AIRES;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 21.00 / SAB 09.00 A 12.00 / SAB 16.00 A 21.00
RZU;CHAMPAGNAT MARCELINO;2864;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 07.30 A 20.00 / SAB 08.00 A 20.00
SAA;NEUMANN ADELA;237;BORDENAVE;BUENOS AIRES;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.00
SAI;MAGALLANES;65;PIGUE;BUENOS AIRES;LUN A VIE 16.30 A 20.00 / LUN A VIE 08.30 A 14.00 / SAB 08.30 A 14.00
SBN;11;2800;BALNEARIO CLAROMECO;BUENOS AIRES;LUN A VIE 07.00 A 15.00 / SAB 07.00 A 16.00
SDW;RIO DE JANEIRO;12;SANTA CLARA DEL MAR;BUENOS AIRES;LUN A SAB 09.00 A 16.00
SDZ;SAN MARTIN ESQUINA 9 DE JULIO;0;LA HUMADA;LA PAMPA;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.00 A 21.00
SEQ;1;0;GENERAL PICO;LA PAMPA;LUN A VIE 08.00 A 12.00 / LUN A VIE 14.00 A 18.00
SFB;SARMIENTO DOMINGO FAUSTINO;399;SAN RAMON DE LA NUEVA ORAN;SALTA;LUN A SAB 08.30 A 21.00
SGE;ALVEAR;22;GENERAL ALVEAR;MENDOZA;LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.00
SGF;INDEPENDENCIA;969;LAS HERAS;MENDOZA;LUN A SAB 08.30 A 13.30 / LUN A SAB 17.30 A 21.00
SGG;DE LA FUENTE ESMERALDA;0;VILLA MAZAN;LA RIOJA;LUN A DOM 08.00 A 13.00 / LUN A DOM 18.00 A 22.00
SGI;25 DE MAYO;435;TINOGASTA;CATAMARCA;LUN A VIE 09.00 A 13.00 / LUN A VIE 18.00 A 22.00
SGB;MORENO PERITO FRANCISCO P;1245;PUERTO DESEADO;SANTA CRUZ;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 10.00 A 13.00
SGL;MITRE BARTOLOME;39;VILLAGUAY;ENTRE RIOS;LUN A VIE 08.00 A 12.30 / LUN A VIE 16.00 A 20.30
SGK;LOS PARAISOS;691;POTRERO DE LOS FUNES;SAN LUIS;LUN A DOM 10.00 A 13.00 / LUN A DOM 17.00 A 20.30
RWO;ALEM LEANDRO NICEFORO;480;GENERAL ENRIQUE GODOY;RIO NEGRO;LUN A SAB 09.00 A 13.00 / LUN A SAB 18.00 A 22.00
SGM;ROCA PRESIDENTE GENERAL JULIO ARGENTINO;0;BAJADA DEL AGRIO;NEUQUEN;LUN A SAB 10.00 A 14.00 / LUN A SAB 17.00 A 21.00
SGN;BELGRANO GENERAL MANUEL;39;SAN JOSE DE METAN;SALTA;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.30 A 21.00
SGO;LAPRIDA FRANCISCO NARCISO DE;3455;VILLA MARTELLI;BUENOS AIRES;LUN A VIE 09.00 A 19.00 / SAB 10.00 A 13.00
SGU;PAZ GENERAL;673;CIUDADELA;BUENOS AIRES;LUN A VIE 09.30 A 18.30
SGX;TUYUTI;7215;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.30 A 18.30
SHE;YRIGOYEN HIPOLITO;1586;FLORENCIO VARELA;BUENOS AIRES;LUN A VIE 10.00 A 19.00
SHF;SAENZ;971;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.30 A 16.00
SHH;DE LOS INCAS;5475;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 12.00 / LUN A VIE 14.00 A 18.00 / SAB 09.00 A 14.00
SHK;TRONADOR;4272;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 10.00 A 13.00
